Qubit,T1 (us),T2 (us),Prob meas 0 prep 1,Prob meas 1 prep 0,Single Qubit Gate Length (ns),x Error,sx Error,rz Error,rx Error,Gate Length (ns),cz Error,rzz Error
0,359.80039527799966,65.55191606117012,0.02294921875,0.001220703125,36,0.0005238775763283754,0.0005238775763283754,0,0.0005238775763283754,1:68,1:0.0016683128164256822,1:0.0015689872294488705
1,181.64719105595495,171.28617921019426,0.007080078125,0.0009765625,36,0.0002268088853732856,0.0002268088853732856,0,0.0002268088853732856,2:68;0:68,2:0.001270839891133052;0:0.0016683128164256822,2:0.0015012439248028309;0:0.0015689872294488705
2,402.7278038160669,333.27654147441024,0.00732421875,0.00146484375,36,0.0001477355019655416,0.0001477355019655416,0,0.0001477355019655416,1:68;3:68,1:0.001270839891133052;3:0.0011510530522233775,1:0.0015012439248028309;3:0.0008773424333032298
3,257.05973218296515,227.19489811024854,0.007568359375,0.0068359375,36,0.00018439550406972174,0.00018439550406972174,0,0.00018439550406972174,16:68;2:68;4:80,16:0.0019309847999907093;2:0.0011510530522233775;4:0.001816350072652989,16:0.0018351159638630432;2:0.0008773424333032298;4:0.0013595966453389119
4,187.89845573684022,184.651008449586,0.019287109375,0.00048828125,36,0.00018983928434761953,0.00018983928434761953,0,0.00018983928434761953,3:80;5:68,3:0.001816350072652989;5:0.0021640402384338897,3:0.0013595966453389119;5:0.001955583067185185
5,233.45897208541135,198.01285507238026,0.0107421875,0.003662109375,36,0.0002282169040510498,0.0002282169040510498,0,0.0002282169040510498,6:68;4:68,6:0.0017121601352125815;4:0.0021640402384338897,6:0.0020450457004928813;4:0.001955583067185185
6,255.45478868651335,236.95137863987617,0.006103515625,0.001708984375,36,0.00022784698276977417,0.00022784698276977417,0,0.00022784698276977417,5:68;7:68,5:0.0017121601352125815;7:0.0010743139407733693,5:0.0020450457004928813;7:0.0013202343715080223
7,304.91567835845336,134.25376772962062,0.00634765625,0.0009765625,36,0.00018118169789696126,0.00018118169789696126,0,0.00018118169789696126,17:68;6:68;8:80,17:0.0012601908038942788;6:0.0010743139407733693;8:0.002808622608596323,17:0.001461107233771075;6:0.0013202343715080223;8:0.002146454438761325
8,151.66673618257403,89.16046079577345,0.0107421875,0.000244140625,36,0.000161638551586259,0.000161638551586259,0,0.000161638551586259,9:68;7:80,9:0.002757955969204806;7:0.002808622608596323,9:0.0017287637659548771;7:0.002146454438761325
9,173.4264148154392,198.80126675226916,0.082275390625,0.169189453125,36,0.00022964050588256387,0.00022964050588256387,0,0.00022964050588256387,8:68;10:68,8:0.002757955969204806;10:0.0011829594115645437,8:0.0017287637659548771;10:0.0012815933479430608
