Qubit,T2 (us),Prob meas 0 prep 1,Prob meas 1 prep 0,Single Qubit Gate Length (ns),x Error,sx Error,rz Error,rx Error,Gate Length (ns),cz Error,rzz Error
0,47.778736098914266,0.002685546875,0.000244140625,36,0.0003005462772738,0.0003005462772738,0,0.0003005462772738,1:68,1:0.002311503766964512,1:0.002350996756488255
1,167.44143400862333,0.011962890625,0.0,36,0.0001529810513397,0.0001529810513397,0,0.0001529810513397,2:68;0:68,2:0.001270839891133052;0:0.002311503766964512,2:0.0015596166513084375;0:0.002350996756488255
2,302.9675414651503,0.0068359375,0.00244140625,36,0.0001350699791488,0.0001350699791488,0,0.0001350699791488,1:68;3:68,1:0.001270839891133052;3:0.0026325914194736677,1:0.0015596166513084375;3:0.0025613001555201964
3,181.5092673346533,0.00732421875,0.005859375,36,0.0002909486809183,0.0002909486809183,0,0.0002909486809183,16:68;2:68;4:80,16:0.00344735604470367;2:0.0026325914194736677;4:0.0034658419327233403,16:0.003460141673417849;2:0.0025613001555201964;4:0.0038710616743024284
4,277.90089152744554,0.192138671875,0.006103515625,36,0.0003706218910651,0.0003706218910651,0,0.0003706218910651,3:80;5:68,3:0.0034658419327233403;5:0.002744197645349028,3:0.0038710616743024284;5:0.0029441069043254775
5,49.54558167806325,0.008544921875,0.001708984375,36,0.0002427319963906,0.0002427319963906,0,0.0002427319963906,6:68;4:68,6:0.0022236980721748734;4:0.002744197645349028,6:0.002207930527804547;4:0.0029441069043254775
6,227.5321430366882,0.007080078125,0.002685546875,36,0.0002804136569749,0.0002804136569749,0,0.0002804136569749,5:68;7:68,5:0.0022236980721748734;7:0.0014183162580927444,5:0.002207930527804547;7:0.001700687792437816
7,112.84606122262691,0.007568359375,0.0,36,0.000150637934863,0.000150637934863,0,0.000150637934863,17:68;6:68;8:80,17:0.0013796645027858712;6:0.0014183162580927444;8:0.002034163699850877,17:0.0017087345095926632;6:0.001700687792437816;8:0.002542140640100332
8,127.88067634545556,0.01171875,0.001708984375,36,0.0002959111029359,0.0002959111029359,0,0.0002959111029359,9:68;7:80,9:0.0024607337510378913;7:0.002034163699850877,9:0.002299343535184989;7:0.002542140640100332
9,271.6385355442247,0.015625,0.01611328125,36,0.0001503172319689,0.0001503172319689,0,0.0001503172319689,8:68;10:68,8:0.0024607337510378913;10:0.0011829594115645437,8:0.002299343535184989;10:0.0012815933479430608
10,129.29003502880929,0.025390625,0.00732421875,36,0.0002240270099448,0.0002240270099448,0,0.0002240270099448,9:68;11:68,9:0.0011829594115645437;11:0.0015776401427056164,9:0.0012815933479430608;11:0.0013163139959384285
