"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"0","49.629799282931266","14.229775469018639","0.02099609375","0.041015625","0.0009765625","1560","0.0023378080042559873","24","0.0023378080042559873","0","0.0023378080042559873","0.0023378080042559873","1:68","1:0.01019308598515306","1:0.012482345639688475","0.02099609375","Yes"
"1","200.50097967602437","246.88573998879656","0.030029296875","0.04345703125","0.0166015625","1560","0.0003169939792690907","24","0.0003169939792690907","0","0.0003169939792690907","0.0003169939792690907","2:68;0:68","2:0.001924304262885368;0:0.01019308598515306","2:0.001716736230081034;0:0.012482345639688475","0.030029296875","Yes"
"2","288.45848257908517","182.3195496692035","0.0062255859375","0.009765625","0.002685546875","1560","0.00018102887535163033","24","0.00018102887535163033","0","0.00018102887535163033","0.00018102887535163033","1:68;3:68","1:0.001924304262885368;3:0.0014163487106834127","1:0.001716736230081034;3:0.0012944101472294467","0.0062255859375","Yes"
"3","285.9524582273304","227.87937350987747","0.0552978515625","0.04345703125","0.067138671875","1560","0.00020856439185192193","24","0.00020856439185192193","0","0.00020856439185192193","0.00020856439185192193","16:68;2:68;4:68","16:0.0031371192102530032;2:0.0014163487106834127;4:0.001494277476022987","16:0.001813427164491982;2:0.0012944101472294467;4:0.0021480790978045394","0.0552978515625","Yes"
"4","204.57857556758734","158.94098525129593","0.0106201171875","0.01171875","0.009521484375","1560","0.0006282862660215103","24","0.0006282862660215103","0","0.0006282862660215103","0.0006282862660215103","3:68;5:68","3:0.001494277476022987;5:0.00296644913478486","3:0.0021480790978045394;5:0.002301739725684926","0.0106201171875","Yes"
"5","224.3706272650234","174.79341080448037","0.0511474609375","0.05517578125","0.047119140625","1560","0.000497958804632936","24","0.000497958804632936","0","0.000497958804632936","0.000497958804632936","6:68;4:68","6:0.019236366980176667;4:0.00296644913478486","6:0.007178319640388536;4:0.002301739725684926","0.0511474609375","Yes"
"6","185.5701247882748","148.00797979584945","0.0216064453125","0.02099609375","0.022216796875","1560","0.00024570706681262115","24","0.00024570706681262115","0","0.00024570706681262115","0.00024570706681262115","5:68;7:68","5:0.019236366980176667;7:0.002540438224007152","5:0.007178319640388536;7:0.002736233303045621","0.0216064453125","Yes"
"7","99.12431798637986","40.25077789041671","0.0355224609375","0.0419921875","0.029052734375","1560","0.0004141614720293961","24","0.0004141614720293961","0","0.0004141614720293961","0.0004141614720293961","17:68;6:68;8:68","17:0.0027390403235350858;6:0.002540438224007152;8:0.0036164739859741446","17:0.002704326228347098;6:0.002736233303045621;8:0.0032005180276695744","0.0355224609375","Yes"
"8","139.1661382111786","40.47804790947097","0.0074462890625","0.012451171875","0.00244140625","1560","0.0004027004614780101","24","0.0004027004614780101","0","0.0004027004614780101","0.0004027004614780101","9:68;7:68","9:0.0032894257022741957;7:0.0036164739859741446","9:0.0032537767010308027;7:0.0032005180276695744","0.0074462890625","Yes"
"9","210.4556090490187","31.82255381828326","0.01318359375","0.01708984375","0.00927734375","1560","0.00020656753521459647","24","0.00020656753521459647","0","0.00020656753521459647","0.00020656753521459647","8:68;10:68","8:0.0032894257022741957;10:0.0018888764778410838","8:0.0032537767010308027;10:0.0026879772844270178","0.01318359375","Yes"
"10","209.26762623887777","133.24393371371949","0.0076904296875","0.0205078125","0.00390625","1560","0.00020345138248322877","24","0.00020345138248322877","0","0.00020345138248322877","0.00020345138248322877","9:68;11:68","9:0.0018888764778410838;11:0.009388830598245551","9:0.0026879772844270178;11:0.009374433103264496","0.0076904296875","Yes"
"11","32.23853765747929","10.649379052176693","0.031005859375","0.052734375","0.00927734375","1560","0.0021855691163936335","24","0.0021855691163936335","0","0.0021855691163936335","0.0021855691163936335","18:68;10:68;12:68","18:0.014956018281158195;10:0.009388830598245551;12:0.007800590412466474","18:0.014100180036387494;10:0.009374433103264496;12:0.00874445150406758","0.031005859375","Yes"
