Qubit,T1 (us),T2 (us),Prob meas 0 prep 1,Prob meas 1 prep 0,Single Qubit Gate Length (ns),x Error,sx Error,rx Error,Gate Length (ns),cz Error,rzz Error
0,49.62979928293127,14.22977546901864,0.041015625,0.0009765625,24,0.0023378080042559,0.0023378080042559,0.0023378080042559,1:68,1:0.01019308598515306,1:0.012482345639688475
1,200.5009796760244,246.88573998879656,0.04345703125,0.0166015625,24,0.000316993979269,0.000316993979269,0.000316993979269,2:68;0:68,2:0.001924304262885368;0:0.01019308598515306,2:0.001716736230081034;0:0.012482345639688475
2,288.4584825790852,182.3195496692035,0.009765625,0.002685546875,24,0.0001810288753516,0.0001810288753516,0.0001810288753516,1:68;3:68,1:0.001924304262885368;3:0.0014163487106834127,1:0.001716736230081034;3:0.0012944101472294467
3,285.9524582273304,227.87937350987747,0.04345703125,0.067138671875,24,0.0002085643918519,0.0002085643918519,0.0002085643918519,16:68;2:68;4:68,16:0.0031371192102530032;2:0.0014163487106834127;4:0.001494277476022987,16:0.001813427164491982;2:0.0012944101472294467;4:0.0021480790978045394
4,204.5785755675873,158.94098525129593,0.01171875,0.009521484375,24,0.0006282862660215,0.0006282862660215,0.0006282862660215,3:68;5:68,3:0.001494277476022987;5:0.00296644913478486,3:0.0021480790978045394;5:0.002301739725684926
5,224.3706272650234,174.79341080448037,0.05517578125,0.047119140625,24,0.0004979588046329,0.0004979588046329,0.0004979588046329,6:68;4:68,6:0.019236366980176667;4:0.00296644913478486,6:0.007178319640388536;4:0.002301739725684926
6,185.5701247882748,148.00797979584945,0.02099609375,0.022216796875,24,0.0002457070668126,0.0002457070668126,0.0002457070668126,5:68;7:68,5:0.019236366980176667;7:0.002540438224007152,5:0.007178319640388536;7:0.002736233303045621
7,99.12431798637986,40.25077789041671,0.0419921875,0.029052734375,24,0.0004141614720293,0.0004141614720293,0.0004141614720293,17:68;6:68;8:68,17:0.0027390403235350858;6:0.002540438224007152;8:0.0036164739859741446,17:0.002704326228347098;6:0.002736233303045621;8:0.0032005180276695744
8,139.1661382111786,40.47804790947097,0.012451171875,0.00244140625,24,0.000402700461478,0.000402700461478,0.000402700461478,9:68;7:68,9:0.0032894257022741957;7:0.0036164739859741446,9:0.0032537767010308027;7:0.0032005180276695744
9,210.4556090490187,31.82255381828326,0.01708984375,0.00927734375,24,0.0002065675352145,0.0002065675352145,0.0002065675352145,8:68;10:68,8:0.0032894257022741957;10:0.0018888764778410838,8:0.0032537767010308027;10:0.0026879772844270178
10,209.26762623887777,133.24393371371949,0.0205078125,0.00390625,24,0.0002034513824832,0.0002034513824832,0.0002034513824832,9:68;11:68,9:0.0018888764778410838;11:0.009388830598245551,9:0.0026879772844270178;11:0.009374433103264496
11,32.23853765747929,10.649379052176691,0.052734375,0.00927734375,24,0.0021855691163936,0.0021855691163936,0.0021855691163936,18:68;10:68;12:68,18:0.014956018281158195;10:0.009388830598245551;12:0.007800590412466474,18:0.014100180036387494;10:0.009374433103264496;12:0.00874445150406758
12,58.545414235288185,66.13956540774993,0.033447265625,0.0146484375,24,0.0002966975388675,0.0002966975388675,0.0002966975388675,13:68;11:68,13:0.00458152775828391;11:0.007800590412466474,13:0.0031788699457654113;11:0.00874445150406758
13,275.3349325521914,182.46150748541731,0.0185546875,0.017333984375,24,0.0002943432469278,0.0002943432469278,0.0002943432469278,12:68;14:68,12:0.00458152775828391;14:0.0016230638721083102,12:0.0031788699457654113;14:0.0013536963034410932
14,168.7611766381229,56.24247924466434,0.01220703125,0.00439453125,24,0.00029389937805,0.00029389937805,0.00029389937805,15:68;13:68,15:0.002160415287699391;13:0.0016230638721083102,15:0.002057144992924753;13:0.0013536963034410932
15,303.0565974286938,162.2250329204645,0.024658203125,0.009521484375,24,0.0002069641773509,0.0002069641773509,0.0002069641773509,14:68;19:68,14:0.002160415287699391;19:0.0023360602863364555,14:0.002057144992924753;19:0.0022112806613941716
16,123.77015801431207,123.72554977697732,0.009521484375,0.001220703125,24,0.0002418336038217,0.0002418336038217,0.0002418336038217,23:68;3:68,23:0.003716835132373336;3:0.0031371192102530032,23:0.0023400441619103873;3:0.001813427164491982
17,109.1061153354689,98.33434605033185,0.013671875,0.0185546875,24,0.0003779553690569,0.0003779553690569,0.0003779553690569,7:68;27:68,7:0.0027390403235350858;27:0.023844967399856004,7:0.002704326228347098;27:0.03352377111899019
18,79.47078423351138,59.0302780256922,0.0166015625,0.001220703125,24,0.000458283975995,0.000458283975995,0.000458283975995,11:68;31:68,11:0.014956018281158195;31:0.004277515130002796,11:0.014100180036387494;31:0.005095763467340836
19,195.00750637038712,201.43685831483145,0.01171875,0.0078125,24,0.0003220886454703,0.0003220886454703,0.0003220886454703,35:68;15:68,35:0.001611409240053624;15:0.0023360602863364555,35:0.001781931595321612;15:0.0022112806613941716
